iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,15.724514961242676,-7.08082570044367,3.137281335289093,20.03890564372413,-16.29843249747614,0.0,158.968658864658,0.05,0.0394444465637207,0.5546514987945557,0.025079312,0.044504624,-7.08082570044367,0.0,40000,2.618201494216919,0.9580023766642571,0.13992970467180696,4.661897848630207,0.0
1,17.07501244544983,-6.897721469076182,2.6920014358436544,12.274577018460167,-14.689905765761914,0.0,127.2748824353819,0.05,0.030129432678222656,1.4094510078430176,0.024816351,0.043161985,-7.062515277306922,0.0,40000,6.706317663192749,0.14549598255375834,0.1157557114735109,-0.9177105074587236,0.0
2,16.10954976081848,-4.622460628504291,14.411978604166075,191.64191361651592,-15.78457486140379,0.0,247.20360867998934,0.05,0.20641660690307617,4.8745808601379395,0.02514196,0.026085917,-6.818509812426659,0.0,40000,5.4124181270599365,0.9322579181842718,0.8855666673597073,-0.33612562320345946,0.0
3,14.276427745819092,-4.13244042486368,14.2797449805272,188.98419835949755,-12.738436714656816,0.0,167.6673483548155,0.05,0.9138801097869873,12.890721559524536,0.025906445,0.04362957,-6.549902873670361,0.0,40000,80.97633695602417,0.931460929620008,0.8383234807122475,-3.3828791935978764,0.0
4,18.090975999832153,-5.284589098687498,4.198923197875557,29.846778662586694,-17.085457824413,0.0,148.18843284302247,0.05,0.029936552047729492,0.6660444736480713,0.025178159,0.039446693,-6.423371496172075,0.0,40000,5.016930818557739,0.8510586378437986,0.40153297580508657,13.595951108585137,4.0
5,19.1398868560791,-3.6820227428047154,9.33198905607683,75.06809546362271,-13.456346919224712,0.0,146.85653909744605,0.05,0.028925418853759766,0.5743653774261475,0.024891885,0.042843394,-6.14923662083534,0.0,40000,20.034062147140503,0.832509791201627,0.6788042149188795,4.994631523704488,0.0
6,16.15413236618042,-4.087279114721213,7.475971997191743,56.06080373880968,-15.404408925775996,0.0,172.57324425708154,0.05,0.04877829551696777,0.6623427867889404,0.025291128,0.028725818,-5.9430408702239275,0.0,40000,5.0877525806427,0.7928174774344001,0.6532568975477231,31.677072437391093,4.0
7,15.623074531555176,-2.903579522639566,10.373813984764856,91.80501597114846,-14.749788268317904,0.0,177.79586428624174,0.05,0.08057093620300293,15.202065229415894,0.025019644,0.032090288,-5.639094735465491,0.0,40000,33.47287058830261,0.8237485055490705,0.6944763972015972,30.018783197886236,4.0
8,15.843743562698364,-2.5239525657083255,14.231271204272716,173.56734606925775,-15.926370985642505,0.0,169.56154208035767,0.05,0.09965085983276367,2.3489315509796143,0.025301736,0.03529754,-5.327580518489775,0.0,40000,30.698259830474854,0.9804722570834992,0.8448240963930237,2.995878434009157,0.0
9,13.720498085021973,-3.673763459493791,4.921569599669598,32.48685850731544,-13.403660764491718,0.0,173.54228539838527,0.05,0.1896803379058838,3.3978993892669678,0.025052717,0.02820197,-5.162198812590177,0.0,40000,93.57996416091919,0.870382513569571,0.6245665923312712,-2.9511937587822734,0.0
10,15.126498699188232,-0.8094117176366424,15.849489228997937,166.11233045973546,-13.93382299637861,0.0,181.16651540312444,0.05,0.27728962898254395,16.67954659461975,0.024908189,0.033672635,-4.726920103094824,0.0,40000,80.22902178764343,0.9469393570775568,0.67231475914544,-3.067313918917244,0.0
11,14.452393531799316,-2.332242412277563,8.155749496620691,76.48335552564512,-13.583478471701799,0.0,146.47686533492183,0.05,0.03247523307800293,8.891692638397217,0.025096161,0.041203722,-4.487452334013097,0.0,40000,90.61776232719421,1.1273150873949356,0.7292881608389805,-2.7480141372881515,0.0
12,14.45231032371521,0.051184350886787085,24.17497424709063,302.00267299210407,-13.030250781234457,0.0,214.6193647751167,0.05,0.02790689468383789,0.6293153762817383,0.0249258,0.028950425,-4.0335886655231095,0.0,40000,18.759931802749634,0.9420503985211035,0.8429727850750085,-2.7737310943264517,0.0
13,17.267226457595825,2.87149573465456,38.774868298455104,500.42052866331085,-12.023328631202848,0.5,151.91855589782085,0.05,0.9247384071350098,6.100433826446533,0.025175504,0.041501503,-3.343080225505343,0.5,40000,6.855825424194336,0.8781415595952836,0.6705760219109104,-2.907544671165101,0.0
