iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,discriminator_loss,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,13.82700490951538,-2.282829904103011,10.154037054654367,69.28210576865186,-8.376757953891088,0.0,0.6951588,1.373840900595612,0.05,0.021422386169433594,0.6900997161865234,0.02447431,0.040878303,-2.282829904103011,0.0,40000,2.583570957183838,0.9988476717574154,0.8215139792252766,-4.629778066738915,0.0
1,12.869976282119751,-3.569411304952547,7.216769557194775,62.07670032606216,-8.700386225314821,0.0,0.69497347,1.3736321509757166,0.05,0.023717641830444336,0.6599280834197998,0.025281295,0.037831713,-2.4114880441879647,0.0,40000,4.6043381690979,1.0001539529262098,0.8052204665052876,-3.600520779641841,0.0
2,12.1888108253479,-1.2046075504353615,18.175688039598487,207.08142880367694,-8.266016732021916,0.0,0.6932677,1.5769760267286375,0.05,0.021726608276367188,0.6431398391723633,0.025830137,0.037917133,-2.2907999948127045,0.0,40000,5.012102842330933,0.950075026710734,0.8336751606369188,-3.9831200199610697,0.0
3,12.521281003952026,-1.3454864881680604,19.340613366011077,237.69928928822122,-7.8079027326157995,0.0,0.6927512,0.9379847138910576,0.05,0.02210855484008789,0.7126266956329346,0.0251811,0.078567095,-2.1962686441482404,0.0,40000,5.2104127407073975,0.9771175006184496,0.8450609436355192,1.7122900077995107,0.0
4,13.986826181411743,-0.3095203618543514,20.394014712133412,238.32892655849486,-7.764296612583099,0.0,0.6919707,1.2578861732094346,0.05,0.027218103408813477,0.648850679397583,0.024920346,0.055394072,-2.0075938159188516,0.0,40000,5.168672323226929,0.8335763109621123,0.7399318689537331,0.9565017222662402,0.0
5,11.484391689300537,2.008625379714003,36.06577049499662,353.324328233221,-7.650829362318742,0.5,0.69190156,1.6443145486110657,0.05,0.020772933959960938,0.6404702663421631,0.024626479,0.040331982,-1.605971896355566,0.5,40000,4.7206196784973145,0.8887198476796905,0.7599528781946707,0.736353660021374,0.0
6,12.865466594696045,-0.47865359576790456,20.294177417075318,222.59298480045408,-8.083943891953927,0.0,0.69222176,1.2263186556020085,0.05,0.030255794525146484,0.6228463649749756,0.025025997,0.041761525,-1.4932400662968,0.0,40000,4.811848163604736,1.217057372499584,0.8622789438615065,5.17250452832831,0.0
7,13.09843397140503,1.3693137824379569,24.363976717459728,254.70466213170826,-8.54707400664196,0.0,0.6913726,1.4096111325890193,0.05,0.020191431045532227,0.742962121963501,0.025429841,0.04262098,-1.2069846814233243,0.0,40000,4.720699310302734,0.7679512891938642,0.6465462270662271,3.449121386598007,0.0
8,19.065574884414673,-0.5162083701868057,18.14364814791486,187.0733432469148,-7.990441079133749,0.0,0.6911791,1.3177332756850473,0.05,0.10900688171386719,2.475994825363159,0.025463855,0.036296967,-1.1379070502996724,0.0,40000,6.030345678329468,0.8031736612121195,0.6611492756310403,4.482044297384288,0.0
9,16.43060612678528,-0.22872755475000375,16.094831453469276,153.1321001278784,-7.685610180543647,0.0,0.6910373,1.4112421074273067,0.05,0.0233306884765625,0.6684160232543945,0.025001056,0.038075235,-1.0469891007447056,0.0,40000,5.1016645431518555,0.8644883149335628,0.6983704076237707,13.296289962133944,0.0
10,17.93605661392212,12.139516463403952,84.68231593120628,947.9617185763495,-9.64537439958322,1.5,0.68952537,1.4344885362616546,0.05,0.0340886116027832,0.9571125507354736,0.025607526,0.04718102,0.2716614556701601,1.5,40000,17.951645374298096,0.9294856043623843,0.8093308214672658,5.223867446406214,0.0
11,14.65011739730835,5.541783872803251,49.7706398088217,541.1759441304595,-9.322548925208672,0.5,0.69057405,1.3312139728799954,0.05,0.027712583541870117,0.6697428226470947,0.024274549,0.03806098,0.7986736973834692,0.5,40000,7.644221067428589,1.0122344994018162,0.7548863326395313,1.936597628300902,0.0
12,17.76371717453003,5.77887315163754,45.79185408674117,512.4487587766782,-10.177655505494148,0.5,0.6900565,1.4099387755162525,0.05,0.029217004776000977,0.7759988307952881,0.025620624,0.03889176,1.2966936428088762,0.5,40000,6.542535305023193,0.9199697025760902,0.7742072788781315,0.14560711338052512,0.0
13,14.931453227996826,0.9649812255766684,18.11132365052972,150.74743287004856,-10.070632425418713,0.0,0.68843436,1.3129396308362014,0.05,0.02307605743408203,0.8420381546020508,0.024808608,0.04133033,1.2635224010856556,0.0,40000,4.8858256340026855,0.9212139526650357,0.7433291149764185,1.2635864037508706,0.0
14,17.40379285812378,8.411278066637061,70.13025653283766,939.7941987702434,-11.322540224971805,0.5,0.6892884,1.5085479857617108,0.05,0.021064281463623047,0.6943161487579346,0.026182223,0.046278216,1.9782979676407964,0.5,40000,5.090175628662109,0.8796944461885815,0.8284739796927078,1.460419093996619,0.0
15,18.191080331802368,3.4373307063424123,23.342411732236823,189.30729068468148,-11.601048090670364,0.0,0.6886805,1.4224828712756972,0.05,0.02023935317993164,0.6364164352416992,0.025010189,0.033740602,2.124201241510958,0.0,40000,5.394993305206299,1.517206674857925,0.6070583161781352,16.962404041937734,0.0
16,19.401912927627563,6.058321225004329,27.674301061781236,208.87130494072892,-11.069827298488914,0.0,0.687739,1.4222781132910431,0.05,0.02425241470336914,0.8663628101348877,0.024672411,0.038622048,2.5176132398602955,0.0,40000,6.244954824447632,0.8058769081606427,0.6485590273259956,14.95928818019031,0.0
17,16.519583225250244,4.8223548613889,29.082281565315977,245.96068038190435,-13.877181462711699,0.0,0.6867277,1.5137931383024186,0.05,0.022075653076171875,0.639681339263916,0.024851019,0.03468587,2.748087402013156,0.0,40000,4.828559875488281,0.7656911194093627,0.6389464329538468,86.12568872442438,4.0
18,18.561466455459595,13.076647934527717,55.95569793077222,536.7273975873261,-9.531104138429518,0.5,0.68865824,1.4510874310366177,0.05,0.025884628295898438,0.6918203830718994,0.025314277,0.03894233,3.7809434552646124,0.5,40000,4.770526170730591,0.8435537044641285,0.7321512921290007,15.619173123078058,0.0
19,16.905985355377197,13.735512913843632,41.345471493480034,293.3172251258549,-10.054507563009587,0.0,0.68722665,1.3866643503656852,0.05,0.026502609252929688,0.6584610939025879,0.024762452,0.03885464,4.7764004011225145,0.0,40000,5.3517866134643555,0.7502429544788044,0.6563528311575866,15.812406896009456,0.0
20,20.613507509231567,12.226622681531854,40.414805049484386,373.0611811393443,-11.922131761514693,0.0,0.68710375,1.1988610338952286,0.05,0.0325772762298584,0.849661111831665,0.023498982,0.04166658,5.521422629163449,0.0,40000,6.796339750289917,0.675143696894435,0.5650111879781772,33.14633526873617,4.0
21,19.498461723327637,11.785932373001613,47.41574791048114,505.8744425233544,-11.226718851577871,0.5,0.6875979,1.2839477983604344,0.05,0.020873308181762695,0.6810040473937988,0.0245404,0.04907944,6.147873603547265,0.5,40000,4.880791902542114,0.8297517082924692,0.718687820556368,71.8880351204907,4.0
22,18.122933864593506,12.931315745839763,40.13042183911568,297.1120953462879,-6.50502442313881,0.0,0.68762314,1.4303876987658841,0.05,0.03354930877685547,0.6459600925445557,0.025109008,0.03638417,6.826217817776516,0.0,40000,4.652036666870117,0.6347937664007994,0.5215630495909257,42.45093235203686,4.0
